Designator,Footprint,Quantity,Value,LCSC Part #
3V3,TestPoint_Pad_D1.0mm,1,3V3,
A BUTTON,TestPoint_Pad_D1.0mm,1,B_BTN,
B,TestPoint_Pad_D1.0mm,1,BLUE,
B BUTTON,TestPoint_Pad_D1.0mm,1,A_BTN,
BAT,TestPoint_Pad_D1.0mm,1,SRP,
BZ1,SMT1227T,1,Buzzer,
"C1, C28, C29, C34, C44",0402,5,1u,
"C10, C11",0402,2,22p,
"C12, C13, C14, C15, C17, C18, C20, C30, C31, C32, C33, C35, C36, C37, C38, C39, C4, C42, C45, C7, C9",0402,21,100n,
"C16, C19, C2, C3",0402,4,4u7,
C21,0402,1,1n,
"C22, C23",0402,2,220p,
"C24, C25, C26, C27, R22, R23",0402,6,set,
"C40, C41",0402,2,15p,
C43,0402,1,470n,
C5,0805,1,47u,
C6,0603,1,22u,
C8,0805,1,10u,
CHG,TestPoint_Pad_D1.0mm,1,CHG,
D1,SOT-323_SC-70,1,BAT54CW,
"D2, D4, D5",RCLAMP03331PWQC,3,set,
D3,Nexperia_DSN1608-2_1.6x0.8mm,1,set,
D6,Nexperia_DSN1608-2_1.6x0.8mm,1,824520600,
F1,FUSC3216X70N,1,1A5 Hold,
FB1,L_Changjiang_FTC201210S,1,100R,
FB2,0402,1,100-600R/100MHz,
FB3,0402,1,600R,
G,TestPoint_Pad_D1.0mm,1,GREEN,
GPIO12,TestPoint_Pad_D1.0mm,1,GPIO12,
IC1,TPS63020DSJR,1,TPS63020DSJR,
IC2,QFN50P300X300X100-17N-D,1,BQ24075TRGTT,
IC3,QFN50P600X600X100-41N-D,1,"PN5321A3HN_C106,55",
IC4,SOIC127P600X175-8N,1,W25Q32JVSNIQ,
J1,SM03BSRSSTBLFSN,1,JST SH Con,
J2,SHDRRA3W35P0X125_1X3_550X550X350P,1,Conn_01x03_Pin,
J3,PinSocket_1x04_P2.54mm_Vertical,1,Display Connector,
J4,UJ20CHGMSMT4BP16TR,1,UJ20-C-H-G-MSMT-4B-P16-TR,
J5,SHDRRA3W35P0X125_1X3_550X550X350P,1,Battery Conenctor,
L1,1285ASH1R0MP2,1,1u,
"L2, L3",0603,2,560n,
LED,INS66TFT5R5G5B,1,RGB LED,
PGIO13,TestPoint_Pad_D1.0mm,1,GPIO13,
PGOOD,TestPoint_Pad_D1.0mm,1,PGOOD,
Q1,SOT-23-3,1,"BSS84AK,215",
Q3,SOT-23-3,1,NX7002AKVL,
R,TestPoint_Pad_D1.0mm,1,RED,
R1,0402,1,46k4,
"R10, R18, R19, R28, R29",0402,5,10k,
"R11, R4",0402,2,100k,
R12,0402,1,1M,
R13,0402,1,137k,
R14,0402,1,768k,
"R15, R16",0402,2,5k1,
"R17, R20, R9",0402,3,1k,
R2,0402,1,3k,
R21,0402,1,2k7,
"R24, R26, R30, R31",0402,4,100R,
R25,0402,1,270R,
R27,0805,1,R01,
R3,0402,1,1k1,
R5,0402,1,11k,
R6,0402,1,23k7,
"R7, R8",0402,2,27R,
RSTPD_N,TestPoint_Pad_D1.0mm,1,RSTPD_N,
RUN,TestPoint_Pad_D1.0mm,1,RUN,
SCL,TestPoint_Pad_D1.0mm,1,SCL,
SDA,TestPoint_Pad_D1.0mm,1,SDA,
SL READ,TestPoint_Pad_D1.0mm,1,PL_Read,
SL TURN OFF,TestPoint_Pad_D1.0mm,1,Turn_Off,
SW1,B3F3152,1,SW_Push,
SW2,TS11674105BK160RAD,1,RUN,
SW3,TS11674105BK160RAD,1,BOOTSEL,
SW4,TS016673BK160D,1,A_BTN,
SW5,TS016673BK160D,1,B_BTN,
TH1,R_Axial_DIN0204_L3.6mm_D1.6mm_P2.54mm_Vertical,1,10k,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,Texas_S-PDSO-N12,1,BQ27441DRZR-G1A,
VBUS,TestPoint_Pad_D1.0mm,1,5V,
VOUT,TestPoint_Pad_D1.0mm,1,BQOUT,
VSYS,TestPoint_Pad_D1.0mm,1,SRN,
Y1,Crystal_SMD_TXC_7M-4Pin_3.2x2.5mm,1,27M12,
Y2,ABM8272T3,1,12M,
