Designator,Mid X,Mid Y,Rotation,Layer
3V3,137.981837,-58.928747,0.0,top
A BUTTON,152.381837,-80.028747,0.0,top
B,96.981837,-56.928747,0.0,top
B BUTTON,157.381837,-77.728747,0.0,top
BAT,144.281837,-53.228747,0.0,top
BZ1,159.381837,-90.228747,0.0,top
C1,163.381837,-61.928747,0.0,top
C10,124.681837,-83.178747,180.0,top
C11,126.181837,-77.678747,0.0,top
C12,119.181837,-76.428747,0.0,top
C13,102.981837,-67.028747,270.0,top
C14,112.681837,-85.678747,90.0,top
C15,110.431837,-88.178747,0.0,bottom
C16,110.431837,-87.178747,0.0,bottom
C17,122.181837,-83.996247,90.0,bottom
C18,144.981837,-63.428747,0.0,top
C19,109.431837,-84.678747,0.0,top
C2,152.581837,-66.128747,180.0,top
C20,123.834337,-86.678747,0.0,top
C21,126.584337,-85.428747,180.0,top
C22,128.731837,-93.378747,270.0,top
C23,128.731837,-89.596247,270.0,top
C24,129.881837,-93.378747,270.0,top
C25,131.031837,-93.378747,270.0,top
C26,131.031837,-89.646247,270.0,top
C27,129.881837,-89.596247,270.0,top
C28,112.081837,-64.528747,90.0,top
C29,110.281837,-63.228747,90.0,top
C3,160.314337,-64.328747,180.0,bottom
C30,122.981837,-64.128747,90.0,top
C31,107.481837,-67.828747,180.0,top
C32,123.681837,-66.428747,270.0,top
C33,107.481837,-65.428747,0.0,top
C34,113.181837,-62.828747,90.0,top
C35,114.681837,-62.128747,270.0,top
C36,118.481837,-62.528747,270.0,top
C37,113.081837,-72.728747,180.0,top
C38,119.681837,-73.428747,0.0,top
C39,107.481837,-66.628747,180.0,top
C4,166.881837,-55.128747,0.0,top
C40,126.381837,-66.128747,0.0,top
C41,126.381837,-70.528747,0.0,top
C42,125.881837,-54.728747,180.0,bottom
C43,133.281837,-52.528747,270.0,bottom
C44,139.806837,-56.796247,90.0,bottom
C45,144.381837,-66.828747,90.0,bottom
C5,137.756837,-61.078747,180.0,top
C6,137.856837,-69.078747,180.0,top
C7,100.781837,-72.228747,0.0,top
C8,161.881837,-66.728747,180.0,top
C9,109.431837,-85.678747,180.0,top
CHG,157.281837,-66.428747,0.0,top
D1,166.981837,-52.928747,180.0,top
D2,126.584337,-86.928747,180.0,top
D3,166.781837,-67.228747,180.0,top
D4,172.044837,-75.128747,0.0,bottom
D5,171.744837,-73.528747,0.0,bottom
D6,144.481837,-56.028747,90.0,top
F1,164.581837,-64.028747,0.0,top
FB1,166.181837,-70.528747,90.0,top
FB2,117.581837,-59.928747,90.0,top
FB3,118.681837,-59.928747,90.0,top
G,92.581837,-56.828747,0.0,top
GPIO12,130.481837,-63.728747,0.0,top
H5,93.756837,-52.303747,0.0,top
H6,173.706837,-52.303747,0.0,top
H7,93.756837,-96.353747,0.0,top
H8,173.706837,-96.353747,0.0,top
IC1,139.006837,-65.178747,180.0,top
IC2,156.281837,-63.178747,0.0,top
IC3,117.401837,-81.588747,90.0,top
IC4,104.981837,-73.628747,90.0,top
J1,105.181837,-52.541747,180.0,top
J2,136.534286,-91.470311,90.0,bottom
J3,98.981837,-63.828747,180.0,top
J4,171.719337,-74.328747,90.0,top
J5,148.911837,-51.698747,180.0,bottom
L1,132.856837,-65.178747,90.0,top
L2,121.931837,-92.428747,0.0,top
L3,121.931837,-90.628747,0.0,top
LED,99.181837,-51.953747,0.0,top
PGIO13,127.081837,-63.628747,0.0,top
PGOOD,149.281837,-71.128747,0.0,top
Q1,166.731837,-59.366247,90.0,top
Q3,173.331837,-60.091247,270.0,top
R,94.781837,-56.828747,0.0,top
R1,157.981837,-60.328747,0.0,bottom
R10,101.486837,-75.740747,90.0,top
R11,166.881837,-56.228747,0.0,top
R12,173.334337,-63.291247,0.0,top
R13,140.756837,-61.178747,270.0,top
R14,141.956837,-61.178747,90.0,top
