Designator,Mid X,Mid Y,Rotation,Layer
3V3,126.3,-58.5,0.0,top
A BUTTON,140.7,-79.6,0.0,top
B,85.3,-56.5,0.0,top
B BUTTON,145.7,-77.3,0.0,top
BAT,132.6,-52.8,0.0,top
BZ1,147.7,-89.8,0.0,top
C1,151.7,-61.5,0.0,top
C10,113.0,-82.75,180.0,top
C11,114.5,-77.25,0.0,top
C12,107.5,-76.0,0.0,top
C13,91.3,-66.6,270.0,top
C14,101.0,-85.25,90.0,top
C15,98.75,-87.75,0.0,bottom
C16,98.75,-86.75,0.0,bottom
C17,110.5,-83.5675,90.0,bottom
C18,133.3,-63.0,0.0,top
C19,97.75,-84.25,0.0,top
C2,140.9,-65.7,180.0,top
C20,112.1525,-86.25,0.0,top
C21,114.9025,-85.0,180.0,top
C22,117.05,-92.95,270.0,top
C23,117.05,-89.1675,270.0,top
C24,118.2,-92.95,270.0,top
C25,119.35,-92.95,270.0,top
C26,119.35,-89.2175,270.0,top
C27,118.2,-89.1675,270.0,top
C28,100.4,-64.1,90.0,top
C29,98.6,-62.8,90.0,top
C3,148.6325,-63.9,180.0,bottom
C30,111.3,-63.7,90.0,top
C31,95.8,-67.4,180.0,top
C32,112.0,-66.0,270.0,top
C33,95.8,-65.0,0.0,top
C34,101.5,-62.4,90.0,top
C35,103.0,-61.7,270.0,top
C36,106.8,-62.1,270.0,top
C37,101.4,-72.3,180.0,top
C38,108.0,-73.0,0.0,top
C39,95.8,-66.2,180.0,top
C4,155.2,-54.7,0.0,top
C40,114.7,-65.7,0.0,top
C41,114.7,-70.1,0.0,top
C42,114.2,-54.3,180.0,bottom
C43,121.6,-52.1,270.0,bottom
C44,128.125,-56.3675,90.0,bottom
C45,132.7,-66.4,90.0,bottom
C5,126.075,-60.65,180.0,top
C6,126.175,-68.65,180.0,top
C7,89.1,-71.8,0.0,top
C8,150.2,-66.3,180.0,top
C9,97.75,-85.25,180.0,top
CHG,145.6,-66.0,0.0,top
D1,155.3,-52.5,180.0,top
D2,114.9025,-86.5,180.0,top
D3,155.1,-66.8,180.0,top
D4,160.363,-74.7,0.0,bottom
D5,160.063,-73.1,0.0,bottom
D6,132.8,-55.6,90.0,top
F1,152.9,-63.6,0.0,top
FB1,154.5,-70.1,90.0,top
FB2,105.9,-59.5,90.0,top
FB3,107.0,-59.5,90.0,top
G,80.9,-56.4,0.0,top
GPIO12,118.8,-63.3,0.0,top
H1,115.4,-113.525,0.0,top
H2,78.4,-113.525,0.0,top
H3,115.399986,-157.574986,0.0,top
H4,78.4,-157.575,0.0,top
H5,82.075,-51.875,0.0,top
H6,162.025,-51.875,0.0,top
H7,82.075,-95.925,0.0,top
H8,162.025,-95.925,0.0,top
IC1,127.325,-64.75,180.0,top
IC2,144.6,-62.75,0.0,top
IC3,105.72,-81.16,90.0,top
IC4,93.3,-73.2,90.0,top
J1,93.5,-52.113,180.0,top
J2,124.852449,-91.041564,90.0,bottom
J3,87.3,-63.4,180.0,top
J4,160.0375,-73.9,90.0,top
J5,137.23,-51.27,180.0,bottom
J6,96.87,-115.98,0.0,bottom
L1,121.175,-64.75,90.0,top
L2,110.25,-92.0,0.0,top
L3,110.25,-90.2,0.0,top
LED,87.5,-51.525,0.0,top
PGIO13,115.4,-63.2,0.0,top
PGOOD,137.6,-70.7,0.0,top
Q1,155.05,-58.9375,90.0,top
Q3,161.65,-59.6625,270.0,top
R,83.1,-56.4,0.0,top
R1,146.3,-59.9,0.0,bottom
R10,89.805,-75.312,90.0,top
R11,155.2,-55.8,0.0,top
R12,161.6525,-62.8625,0.0,top
R13,129.075,-60.75,270.0,top
R14,130.275,-60.75,90.0,top
R15,159.163,-76.7,270.0,bottom
R16,159.163,-71.1,270.0,bottom
R17,112.6,-68.3,270.0,top
R18,110.2,-61.4,180.0,bottom
R19,95.22,-82.36,180.0,top
R2,142.6,-59.9,180.0,bottom
R20,112.1525,-85.0,180.0,top
R21,117.048801,-85.876351,90.0,top
R22,120.5,-92.95,270.0,top
R23,120.5,-89.2175,90.0,top
R24,99.8,-60.1,0.0,bottom
R25,99.8,-59.0,0.0,bottom
R26,99.8,-57.9,0.0,bottom
R27,129.9,-56.4,180.0,top
R28,128.225,-52.4,270.0,bottom
R29,127.625,-50.6,0.0,bottom
R3,148.0,-61.0,180.0,bottom
R30,95.1,-56.4,0.0,top
R31,93.1,-57.5,0.0,top
R4,140.7,-61.0,90.0,top
R5,138.4,-59.8,90.0,top
R6,139.6,-59.8,270.0,top
R7,97.5,-63.1,270.0,top
R8,96.4,-63.1,90.0,top
R9,90.8025,-77.7,180.0,top
RSTPD_N,97.82,-82.36,0.0,top
RUN,122.3,-57.2,0.0,top
SCL,90.6,-62.0,0.0,top
SDA,90.4,-59.9,0.0,top
SL READ,150.7,-57.3,0.0,top
SL TURN OFF,158.7,-59.4,0.0,top
SW1,146.25,-52.5125,180.0,top
SW2,114.25,-53.3625,180.0,top
SW3,103.25,-53.3625,180.0,top
SW4,146.1,-72.2,0.0,top
SW5,134.1,-77.3,0.0,top
TH1,137.3,-63.85,270.0,bottom
U1,105.4625,-67.5,180.0,top
U2,125.1,-54.1625,0.0,top
VBUS,152.4,-69.0,0.0,top
VOUT,132.46,-68.65,0.0,top
VSYS,141.4,-63.4,270.0,top
Y1,113.75,-80.0,0.0,top
Y2,115.4,-67.9,180.0,top
